01342, 5, 64, 8, 14524, 47, 13, 11074
23410, 5, 1363, 11, 6351963, 143, 0, 11090038
40213, 5, 273, 7, 247116, 126, 0, 7390368
21403, 5, 895, 10, 2550006, 122, 0, 10307921
03412, 5, 216, 8, 148933, 52, 14, 13856
30142, 5, 184, 8, 124417, 58, 15, 27562
04123, 5, 81, 6, 19841, 64, 14, 18703
34210, 5, 1096, 10, 3329662, 136, 18, 117127
10324, 5, 185, 7, 113294, 95, 15, 50769
04213, 5, 341, 7, 349893, 54, 14, 13925
01243, 5, 19, 6, 1811, 29, 12, 4146
32014, 5, 337, 7, 314964, 91, 16, 44044
14023, 5, 481, 8, 594423, 130, 0, 12315112
10342, 5, 233, 9, 218202, 170, 0, 13532917
20314, 5, 453, 8, 336747, 143, 0, 11201104
12034, 5, 671, 8, 1191044, 165, 0, 15483858
40132, 5, 184, 7, 80943, 110, 19, 88436
12340, 5, 1543, 12, 6800710, 141, 0, 12102905
12043, 5, 776, 9, 1457357, 141, 0, 12923130
43102, 5, 616, 8, 832752, 91, 19, 51716
