01342, 5, 64, 8, 16685, 96, 18, 45016
01342, 5, 64, 8, 14809, 96, 18, 44681
01342, 5, 64, 8, 15101, 96, 18, 45126
01342, 5, 64, 8, 15026, 96, 18, 45082
23410, 5, 1841, 11, 13746065, 89, 0, 591928
40213, 5, 519, 7, 909356, 33, 0, 331794
21403, 5, 1096, 10, 4187213, 69, 0, 471238
03412, 5, 222, 8, 186137, 61, 18, 19061
30142, 5, 427, 8, 626515, 75, 0, 442316
04123, 5, 122, 6, 46309, 82, 18, 30974
34210, 5, 1803, 17554587865258, 13639357, 72, 0, 533028
10324, 5, 639, 7, 1460067, 89, 0, 566796
04213, 5, 184, 7, 121278, 64, 18, 24159
01243, 5, 19, 6, 1410, 117, 18, 75719
32014, 5, 478, 9, 775182, 49, 0, 359560
14023, 5, 910, 9, 2971838, 86, 0, 602370
10342, 5, 452, 9, 772235, 85, 0, 524799
20314, 5, 705, 8, 1842460, 94, 0, 538887
12034, 5, 865, 8, 2872184, 91, 0, 574084
40132, 5, 664, 7, 1485329, 45, 0, 303900
12340, 5, 1801, 17576234843818, 13882081, 83, 0, 612525
12043, 5, 392, 9, 582053, 96, 0, 617064
43102, 5, 1052, 8, 3959383, 47, 0, 355078
