203514, 6, 4918, 12, 80083088, 185, 0, 7937766
214530, 6, 13281, 17, 819486925, 189, 0, 16005492
250134, 6, 2396, 9, 16002861, 129, 0, 8764534
503412, 6, 4751, 10, 92988076, 61, 0, 5699737
143025, 6, 2652, 10, 27537582, 344, 27, 1149892
430521, 6, 6202, 13, 167686798, 662, 0, 60820814
504213, 6, 4622, 9, 88546292, 45, 0, 5065186
341205, 6, 7422, 12, 229329927, 247, 29, 649192
034152, 6, 943, 11, 4088686, 158, 27, 244807
031524, 6, 593, 10, 1453362, 178, 27, 181190
431052, 6, 3020, 13, 36053283, 93, 0, 7758722
210345, 6, 3384, 10, 46833002, 172, 0, 10151569
534201, 6, 6412, 11, 178137116, 102, 0, 7755937
253410, 6, 13503, 16, 812309938, 199, 0, 12884817
031542, 6, 952, 12, 3737018, 186, 27, 154665
124035, 6, 3023, 12, 32410090, 302, 27, 1019131
432105, 6, 6261, 10, 145060851, 63, 0, 5093815
410532, 6, 3688, 14, 57305052, 140, 0, 10249683
142305, 6, 9051, 13, 344724198, 290, 0, 13843469
143205, 6, 9362, 14, 373927156, 349, 0, 15317417
