10, 10, 36, 1, 53.6, 12.6, 35.85
10, 10, 36, 2, 178.32, 8.38, 35.54
10, 10, 36, 3, 166.24, 36.24, 36.24
10, 10, 37, 1, 53.83, 12.83, 36.68
10, 10, 37, 2, 178.43, 8.75, 36.57
10, 10, 37, 3, 167.16, 37.16, 37.16
10, 10, 38, 1, 54.18, 13.18, 37.7
10, 10, 38, 2, 178.78, 9.02, 37.58
10, 10, 38, 3, 168.2, 38.2, 38.2
10, 10, 39, 1, 54.45, 13.45, 38.51
10, 10, 39, 2, 177.71, 9.23, 38.42
10, 10, 39, 3, 169.46, 39.46, 39.46
10, 10, 40, 1, 54.93, 13.93, 39.54
10, 10, 40, 2, 177.88, 9.51, 39.43
10, 10, 40, 3, 170.48, 40.48, 40.48
10, 10, 41, 1, 55.58, 14.58, 40.15
10, 10, 41, 2, 174.04, 9.72, 40.6
10, 10, 41, 3, 170.88, 40.88, 40.88
10, 10, 42, 1, 55.87, 14.87, 40.98
10, 10, 42, 2, 174.33, 10, 41.63
10, 10, 42, 3, 171.91, 41.91, 41.91
10, 10, 43, 1, 56.81, 15.81, 43.37
10, 10, 43, 2, 177.16, 10.26, 42.53
10, 10, 43, 3, 173.67, 43.67, 43.67
10, 10, 44, 1, 57.1, 16.1, 44.39
10, 10, 44, 2, 177.44, 10.51, 43.47
10, 10, 44, 3, 174.58, 44.58, 44.58
10, 10, 45, 1, 57.45, 16.45, 45.36
10, 10, 45, 2, 177.69, 10.74, 44.48
10, 10, 45, 3, 175.54, 45.54, 45.54
10, 10, 46, 1, 57.81, 16.81, 46.27
10, 10, 46, 2, 179.71, 11.15, 45.44
10, 10, 46, 3, 176.26, 46.26, 46.26
10, 10, 47, 1, 58.2, 17.2, 47.2
10, 10, 47, 2, 180.04, 11.39, 46.46
10, 10, 47, 3, 177.29, 47.29, 47.29
10, 10, 48, 1, 58.31, 17.31, 47.32
10, 10, 48, 2, 182.82, 11.61, 47.45
10, 10, 48, 3, 178.42, 48.42, 48.42
10, 10, 49, 1, 58.74, 17.74, 48.52
10, 10, 49, 2, 183.1, 11.92, 48.46
10, 10, 49, 3, 179.34, 49.34, 49.34
10, 10, 50, 1, 58.71, 17.71, 49.08
10, 10, 50, 2, 179.36, 12.09, 49.5
10, 10, 50, 3, 180.32, 50.32, 50.32
10, 10, 51, 1, 59.11, 18.11, 50.24
10, 10, 51, 2, 179.61, 12.34, 50.49
10, 10, 51, 3, 181.12, 51.12, 51.12
10, 10, 52, 1, 59.71, 18.71, 51.83
10, 10, 52, 2, 175.24, 12.38, 51.38
10, 10, 52, 3, 182.14, 52.14, 52.14
10, 10, 53, 1, 60.17, 19.17, 53.38
10, 10, 53, 2, 183.75, 12.94, 52.49
