1,000, 46.3043, 0.0434783, 0.0869565, 2, 647.739
1,001, 46.3043, 0, 0, 0, 591.174
1,100, 46.3043, 0, 0, 0, 825.043
1,101, 46.3043, 0, 0, 0, 824.87
1,110, 46.3043, 0, 0, 0, 873.174
1,111, 46.3043, 0, 0, 0, 874.304
2,000, 51.9524, 0.761905, 2.71429, 57, 2277.05
2,001, 51.9524, 0.857143, 4, 84, 37283
2,100, 51.9524, 0, 0, 0, 996.238
2,101, 51.9524, 0, 0, 0, 1001.14
2,110, 51.9524, 0, 0, 0, 1086.43
2,111, 51.9524, 0, 0, 0, 1092.33
3,000, 54.7222, 0.833333, 4, 72, 4852.44
3,001, 54.7222, 1, 5.44444, 98, 163647
3,100, 54.7222, 0.111111, 0.222222, 4, 1374.67
3,101, 54.7222, 0.0555556, 0.166667, 3, 1404.5
3,110, 54.7222, 0.111111, 0.222222, 4, 1561.11
3,111, 54.7222, 0.0555556, 0.166667, 3, 1587.11
4,000, 54.8667, 0.8, 3.66667, 55, 5546.07
4,001, 54.8667, 0.8, 5.26667, 79, 531324
4,100, 54.8667, 0.666667, 1, 15, 2351.67
4,101, 54.8667, 0.666667, 1.86667, 28, 3764.87
4,110, 54.8667, 0.666667, 1, 15, 2693.2
4,111, 54.8667, 0.666667, 1.86667, 28, 4287.13
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
000, 54.8667, 0.8, 3.66667, 55, 5977.27
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
001, 54.8667, 0.8, 5.26667, 79, 572773
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
100, 54.8667, 0.666667, 1, 15, 3239.27
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
101, 54.8667, 0.666667, 1.86667, 28, 4669.87
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
110, 54.8667, 0.666667, 1, 15, 3652.67
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
110, 54.8667, 0.666667, 1, 15, 3679.67
55
51
57
55
51
51
56
56
55
55
57
55
57
55
57
111, 54.8667, 0.666667, 1.86667, 28, 5233.33
